challenge,response
5401015A4E9764D745A859259CB84E58446346D29E481DB9819CE55B59744594F1DDCD7A879A2967D66C321E12068C74C50BD156FA901C949B94C2233B75608FB0DB954B2609B1DE048870697E000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D7948EBF24B2AF75E11D9AC5B0693C6DAB88AB70E3E2242E8B4903676E6603A6AA0339FCF4A5E48ABD157E7B637F03B111F2E20DCC250E41602DFCD76EFAE
5401015A4EE851B8F72A0271A4048E0ED4F492D14C36944FF22DEB812ABCEE29B91A243A8A13806556E2B14C30E54A07BDAC7290FF7FF21E831D39914474D6B6E4049F162ADCFAAD12473CA540000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D1A807E3A9B50341F3EB2807D1F641725992E3D717121807E99DB4D91DCF69BEFF25495AE1B6D7BABADAB8F92305D936299029639637AFBFEEBA81842079C
5401015A4ED2CDAA93C74215DF81C4244417FE5EF58B3919FAB8AC1B226718E12C3CDD66C6BBA06A22FC22B9AF0C89F542F47C5DAF14FE609E02A45F63F93F97F3127BABD3375FE000CCF5C386000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D00C06774EB1BBAE318D1F5924164EBD5FCD49F427DCACFB5D8171F049C5CC98666886720CB11C4D35B7696C9156B2CE5E4EC8EE8EEC7065D10CABB98DCAF
5401015A4EF4842F3F7EC8DF857AA56B3B4E5F9A3988CC6515FE2D898D807CE4878A12F3CAA3BD821B2907FF20A0FBB1C430668E80CB041A55BA82D0493732940CBC0B2E1712CA3B2FB4B2A807000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D0FE7804E112F7F4E41FFB870397F1DD04E0AA9B5C5741E13A1B8D6492A6BB0D6E51C9150F94E5830501AC6E1161DB017E89BA0DF9EC1FBDCC48C00434B31
5401015A4E4F6B4A66395157833AFADA2A3F1210C6F020034D8A5545048D47D083DDB2AFCE84902ACB660A74ED4DEF5A5FA32495F35C500BED5CBBF6C458FFCCD8454EF195FBDF8D6362C64436000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D415B3BE54B8467C3FE7ED326A3D4C6B9A60F735078DCEFFF1E8320BC51A1B770BDD02DB8FB483890F546A2E7079BD54348704E593FA0C895993B0432C1C8
5401015A4E110C18D452FE946DB884C9B3CEF0D0098AF355CEAD3348B8D4AC4C561F4B65A21BCDD3029957F1C6F996ADB229C844DE0214B71BD5FA1FE8978D9BE6D9AD7EB07E80C444536E173C000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D4E70F0932AEC7D7E9CF279B99053746BC5BB229A779E326C2F453B240D91CD33FEE1E74FD2F279F2A219D15A1A7A71F980D6F1BB92945501527B029CECE6
5401015A4E05559BD90E87F8CC5C6645B4B46ABC1DBF56AC74492DA58ADC89ACF02F046F73F43F259993A42E742AFA685DE6254C0A6610E669A699D8557AD08B7FBD23C213EDDC5381B829685F000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972DD99B0BC0D53034543B9187E2D27D336506A6639ED715A366D06959BB73FFDEEABFBABDD07514C14681B8994AE9A4FD58DF6321E522BCECFF8FAA3CA5B9A3
5401015A4EB71374C7BCA89A71732FAB51FDC1EE9CA788164A5FA91BD82B7812FC37311E983597E8DB5668047C3F84828CFDBDDFB6E3FBE5DE23F0C547A69EBC75E95617CB006E4FF7CCED08B1000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972DB227B7AF0A8BA5B11D8AF8CF33DE807092C21C10F8158AD7ADB77F45A605B0718BF05E06CF6CC406F63476C0F9A2EEB9960AB1F7705A4EFF40B4F501A76D
5401015A4E1695CD6EEEA63F744462A89D134F2401BD97DA211BC63A6092757289405CE390458E389FFB59AB0128A0573A18642CE498FBB1EBB8B8B9CB04F2AFEE8F3942887BFEB607073974CA000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972DC36A8D1882BA7286A9FB58AA4E24E18B4CC9DC1D57B8929189042A5DC738DD5807B25B25030A776237EF9AF8FBC2AE20E156E081F4CDDFA1CAF4E305D613
5401015A4E10E8B7B9D6C6F6A7959E20BE5AAE3A44923A7BFE74069873D8C0F436F4997787A0CE878E160E997170569E793B83E6EABA2DCFF57B7B8BE254E0635A32FCC99796D8D59ED40015F4000000000000,5401015A4E46B2672FF25C87782A36AA8D606C972D1E470608BD878BF225A8E3E0B8691DD8A37EEC5706F8DF5539805E2954E578F580E9C691DA622A6D9BF0BD6AC9F733E21AA4ECF0E2B5464E2B9FB44215EB